Brand,Model,1-Core Pts,2-Core Pts,4-Core Pts,8-Core Pts,64-Core Pts,Samples,Age (months),Current Price (USD),Seller
AMD,Ryzen TR 3970X,129,258,499,994,5296,4600,29,,
AMD,Ryzen TR 3990X,125,250,495,986,5093,1000,26,,
AMD,Ryzen TR 3960X,130,260,497,994,4134,4500,29,1731,Ebay
AMD,Ryzen TR 2990WX,108,212,404,782,3980,3100,44,2100,Amazon
AMD,Ryzen TR 2970WX,112,220,421,738,3243,1700,41,916,Ebay
AMD,Ryzen 9 5950X,162,321,622,1209,2997,60000,17,640,Amazon
AMD,Ryzen 9 3950X,129,257,502,989,2831,47000,29,773,Ebay
AMD,Ryzen TR 2950X,119,236,468,915,2453,8900,44,990,Amazon
AMD,Ryzen 9 5900X,162,320,619,1187,2399,124000,17,372,Ebay
AMD,Ryzen TR 1950X,110,217,426,838,2287,22000,56,500,Ebay
AMD,Ryzen 9 3900XT,131,262,504,974,2163,23000,22,743,Amazon
AMD,Ryzen 9 3900X,129,257,499,969,2160,302000,33,500,Amazon
AMD,Ryzen 9 5900,159,313,602,1090,1966,719,12,,
AMD,Ryzen TR 2920X,119,235,463,862,1860,3400,41,,
AMD,Ryzen TR 1920X,111,218,426,806,1783,10000,56,,
AMD,Ryzen 7 5800X,163,321,602,1096,1679,210000,17,315,Ebay
AMD,Ryzen 7 5800X3D,154,305,583,1070,1623,278,1,,
AMD,Ryzen 7 5700G,155,304,579,1046,1573,18000,11,233,Amazon
AMD,Ryzen 7 5700X,157,311,589,1053,1549,385,0,285,Ebay
AMD,Ryzen 7 5800,158,310,573,1029,1531,2400,13,,
AMD,Ryzen 7 3800XT,135,266,504,934,1519,16000,21,,
AMD,Ryzen 7 4700G,136,269,524,974,1476,998,23,,
AMD,Ryzen 7 3800X,131,259,494,909,1473,171000,33,300,Amazon
AMD,Ryzen 7 6800H,143,282,539,968,1461,196,2,,
AMD,Ryzen 7 3700X,128,252,481,887,1424,779000,33,260,Ebay
AMD,Ryzen 9 5900HX,147,285,542,955,1411,23000,15,,
